,Time,Vmax,
119,0.050798796,1624.937626,
120,0.051051574,1633.463579,
121,0.051420741,1641.414968,
122,0.051772963,1649.03726,
123,0.052021019,1656.379656,
124,0.052270463,1671.092439,
125,0.052519907,1679.114874,
126,0.052767407,1686.482464,
127,0.053130185,1691.817764,
128,0.053480741,1702.121156,
129,0.053733241,1708.152136,
130,0.053981574,1716.726616,
131,0.054233241,1723.664582,
132,0.054484352,1733.218435,
133,0.054855185,1740.722207,
134,0.055208519,1751.200666,
135,0.055458519,1761.573406,
136,0.055707685,1769.87633,
137,0.055953519,1778.473908,
138,0.05619963,1785.315935,
139,0.056567685,1791.284287,
140,0.056921296,1801.915705,
141,0.057171296,1806.43884,
142,0.057421296,1823.101322,
143,0.05767213,1831.264089,
144,0.057924352,1841.96323,
145,0.05829713,1850.015278,
146,0.058651574,1857.550848,
147,0.058898519,1861.890079,
148,0.059147963,1866.890653,
149,0.059405463,1874.703449,
150,0.059652963,1878.158453,
151,0.060021296,1879.651216,
152,0.060375185,1884.465891,
153,0.060623519,1891.776241,
154,0.060869352,1898.716865,
155,0.061118796,1903.285784,
156,0.061371019,1913.74485,
157,0.061743241,1923.177654,
158,0.062102963,1925.808536,
159,0.062349074,1926.058762,
160,0.062597963,1932.602346,
161,0.062850463,1943.793104,
162,0.063101852,1956.471402,
163,0.063470741,1965.428887,
164,0.063825463,1971.896912,
165,0.06407463,1978.425377,
166,0.064322407,1987.469026,
167,0.06457213,1995.936657,
168,0.064824907,1999.719508,
169,0.065194074,2001.280187,
170,0.065543519,2006.225546,
171,0.065789074,2007.100251,
172,0.066036019,2011.932396,
173,0.066286296,2016.935099,
174,0.066535463,2022.158131,
175,0.066904907,2023.553347,
176,0.067259352,2022.482905,
177,0.067507963,2022.94576,
178,0.067756296,2024.840183,
179,0.068008241,2024.852987,
180,0.068257963,2029.004676,
181,0.068626296,2033.2775,
182,0.068977963,2035.084679,
183,0.069228519,2041.782047,
184,0.06947963,2049.666214,
185,0.069733519,2059.375752,
186,0.069984352,2062.148478,
187,0.070355741,2061.573933,
188,0.070710463,2068.707293,
189,0.070956019,2075.706115,
190,0.071206852,2082.991041,
191,0.071455463,2084.813705,
192,0.071701852,2092.198917,
193,0.072063796,2098.016592,
194,0.072412685,2102.885872,
195,0.072659352,2106.560092,
196,0.072907407,2111.477112,
197,0.073155463,2122.898622,
198,0.073404352,2130.491678,
199,0.07376213,2136.091467,
200,0.074106019,2140.368265,
201,0.07435463,2148.327951,
202,0.074607407,2161.038651,
203,0.074863519,2160.83896,
204,0.07511463,2162.133468,
205,0.075486296,2162.665611,
206,0.075840463,2162.080431,
207,0.076089074,2167.475554,
208,0.076338519,2171.443293,
209,0.076586852,2174.542864,
210,0.076836852,2179.527923,
211,0.07720713,2180.512962,
212,0.077561019,2182.162431,
